city,line,name
乌鲁木齐,1号线,三工
南昌,1号线,卫东
北京,S1线,石厂
东莞,2号线,下桥
上海,1号线,衡山路
天津,1号线,海光寺
洛阳,1号线,武汉路
福州,1号线,福州火车站
西安,1号线,安谷
常州,1号线,新桥
宁波,1号线,邬隘
长春,1号线,长春站
贵阳,1号线,珠江路
青岛,1号线,凤岗路
大连,1号线,东纬路
长沙,1号线,培元桥
香港,东铁线(落馬洲-紅磡),沙田
武汉,1号线,头道街
合肥,1号线,金斗公园
石家庄,1号线,烈士陵园
昆明,1号线(环城南路-大学城南),晓东村
杭州,1号线,近江
徐州,1号线,人民广场
无锡,S1线,江阴中医院
长沙,1号线,五一广场
武汉,1号线,黄浦路
深圳,1号线/罗宝线,科学馆
兰州,1号线,马滩
郑州,1号线,兰寨
温州,S1线,惠民路
南宁,1号线,凤岭
苏州,1号线,滨河路
南京,1号线,中国药科大学
徐州,1号线,苏堤路
温州,S1线,三垟湿地
太原,2号线,府西街
杭州,1号线,婺江路
温州,S1线,龙腾路
石家庄,1号线,新百广场
太原,2号线,开化寺街
厦门,1号线,湖滨东路
广州,1号线,烈士陵园
济南,1号线,紫薇路
呼和浩特,1号线,西龙王庙
沈阳,1号线,沈阳站
西安,1号线,陈杨寨
哈尔滨,1号线,哈尔滨南站
宁波,1号线,宝幢
佛山,南海有轨电车1号线,平西
北京,1号线八通线,古城
青岛,1号线,流亭
南昌,1号线,地铁大厦
重庆,1号线,大坪
常州,1号线,常州北站
大连,1号线,春柳
上海,1号线,常熟路
天津,1号线,鞍山道
长春,1号线,胜利公园
乌鲁木齐,1号线,迎宾路口
成都,1号线(五根松-韦家碾),锦城广场
东莞,2号线,天宝
贵阳,1号线,望城坡
洛阳,1号线,长安路
福州,1号线,斗门
合肥,1号线,塘西河公园
厦门,1号线,莲坂
香港,东铁线(落馬洲-紅磡),火炭
福州,1号线,树兜
无锡,S1线,南门
昆明,1号线(环城南路-大学城南),珥季路
长沙,1号线,黄兴广场
深圳,1号线/罗宝线,华强路
西安,1号线,白马河
武汉,1号线,三阳路
苏州,1号线,西环路
南京,1号线,南京交院
郑州,1号线,铁炉
兰州,1号线,土门墩
南宁,1号线,东盟商务区
昆明,1号线(环城南路-大学城南),星耀路
徐州,1号线,徐医附院
太原,2号线,大南门
南昌,1号线,秋水广场
哈尔滨,1号线,哈达
香港,东铁线(落馬洲-紅磡),大学
武汉,1号线,大智路
济南,1号线,大学城
合肥,1号线,紫庐
长沙,1号线,南门口
南宁,1号线,万象城
石家庄,1号线,解放广场
徐州,1号线,彭城广场
大连,1号线,香工街
佛山,南海有轨电车1号线,平南
南京,1号线,南医大·江苏经贸学院
兰州,1号线,兰州西站北广场
深圳,1号线/罗宝线,岗厦
沈阳,1号线,云峰北街
青岛,1号线,仙家寨(汽车北站)
苏州,1号线,桐泾北路
广州,1号线,东山口
呼和浩特,1号线,乌兰夫纪念馆
郑州,1号线,市民中心
杭州,1号线,城站
徐州,1号线,民主北路
昆明,1号线(环城南路-大学城南),新亚洲体育城
温州,S1线,科技城
呼和浩特,1号线,附属医院
哈尔滨,1号线,医大二院
兰州,1号线,西站什字
上海,1号线,陕西南路
重庆,1号线,石油路
常州,1号线,北郊中学
北京,1号线八通线,八角游乐园
宁波,1号线,五乡
天津,1号线,营口道
长春,1号线,人民广场
温州,S1线,瑶溪
洛阳,1号线,上海市场
乌鲁木齐,1号线,植物园
东莞,2号线,东城
厦门,1号线,莲花路口
贵阳,1号线,沙冲路
